Distance_(pixels),Gray_Value
1442,29.641
1443,28.786
1444,27.556
1445,23.231
1446,19.239
1447,18.256
1448,19.906
1449,21.769
1450,20.547
1451,21.487
1452,25.000
1453,30.974
1454,39.017
1455,45.385
1456,47.778
1457,47.932
1458,46.470
1459,44.496
1460,41.949
1461,40.385
1462,42.966
1463,45.410
1464,44.615
1465,44.701
1466,44.085
1467,45.094
1468,47.547
1469,50.923
1470,55.641
1471,61.487
1472,63.128
1473,59.504
1474,51.368
1475,41.692
1476,33.675
1477,30.444
1478,30.641
1479,33.846
1480,38.735
1481,42.957
1482,47.684
1483,55.573
1484,65.214
1485,72.393
1486,79.957
1487,90.855
1488,96.291
1489,98.291
1490,103.632
1491,117.726
1492,134.179
1493,144.564
1494,149.547
1495,159.043
1496,163.718
1497,163.034
1498,163.026
1499,165.308
1500,163.915
1501,159.026
1502,146.829
1503,132.470
1504,112.829
1505,100.231
1506,95.231
1507,89.376
1508,80.966
1509,76.026
1510,70.248
1511,63.761
1512,59.453
1513,62.256
1514,70.419
1515,78.137
1516,82.615
1517,82.974
1518,81.889
1519,79.188
1520,71.598
1521,63.368
1522,59.573
1523,61.709
1524,64.829
1525,63.256
1526,60.829
1527,62.137
1528,66.077
1529,71.137
1530,76.034
1531,77.675
1532,76.650
1533,73.863
1534,69.530
1535,64.692
1536,60.744
1537,61.709
1538,69.436
1539,73.359
1540,72.769
1541,73.598
1542,74.026
1543,75.641
1544,77.068
1545,77.991
1546,77.043
1547,76.009
1548,76.291
1549,76.726
1550,76.615
1551,74.487
1552,68.120
1553,61.957
1554,56.205
1555,52.709
1556,51.564
1557,52.462
1558,52.846
1559,51.333
1560,50.778
1561,51.009
1562,52.479
1563,57.504
1564,62.915
1565,67.325
1566,70.701
1567,73.641
1568,75.282
1569,76.009
1570,75.778
1571,74.855
1572,75.188
1573,75.821
1574,77.897
1575,85.538
1576,102.085
1577,115.419
1578,118.504
1579,123.009
1580,125.162
1581,128.419
1582,137.966
1583,150.564
1584,158.402
1585,166.957
1586,176.436
1587,186.197
1588,186.068
1589,184.564
1590,186.197
1591,189.359
1592,187.829
1593,184.991
1594,173.179
