Temps___(ms):,	Pos.cal.(um):,	Tension_(mV):	
 6.8922448E+7,	-2.1463648E+0,	 1.9915241E+2	
 6.8922588E+7,	-2.1362404E+0,	 1.9878358E+2	
 6.8922728E+7,	-2.1261161E+0,	 1.9874939E+2	
 6.8922868E+7,	-2.1159917E+0,	 1.9858818E+2	
 6.8923008E+7,	-2.1058673E+0,	 1.9855398E+2	
 6.8923148E+7,	-2.0957430E+0,	 1.9849780E+2	
 6.8923288E+7,	-2.0856186E+0,	 1.9844650E+2	
 6.8923428E+7,	-2.0754943E+0,	 1.9859307E+2	
 6.8923568E+7,	-2.0653699E+0,	 1.9850269E+2	
 6.8923708E+7,	-2.0552455E+0,	 1.9862482E+2	
 6.8923848E+7,	-2.0451212E+0,	 1.9868100E+2	
 6.8923988E+7,	-2.0349968E+0,	 1.9868588E+2	
 6.8924128E+7,	-2.0248724E+0,	 1.9882511E+2	
 6.8924268E+7,	-2.0147481E+0,	 1.9886908E+2	
 6.8924408E+7,	-2.0046237E+0,	 1.9900586E+2	
 6.8924548E+7,	-1.9944994E+0,	 1.9926722E+2	
 6.8924688E+7,	-1.9843750E+0,	 1.9935271E+2	
 6.8924828E+7,	-1.9742506E+0,	 1.9955055E+2	
 6.8924968E+7,	-1.9641263E+0,	 1.9958231E+2	
 6.8925108E+7,	-1.9540019E+0,	 1.9980948E+2	
 6.8925248E+7,	-1.9438776E+0,	 2.0013189E+2	
 6.8925388E+7,	-1.9337532E+0,	 2.0024426E+2	
 6.8925528E+7,	-1.9236288E+0,	 2.0039082E+2	
 6.8925668E+7,	-1.9135045E+0,	 2.0053492E+2	
 6.8925808E+7,	-1.9033801E+0,	 2.0082071E+2	
 6.8925948E+7,	-1.8932557E+0,	 2.0115046E+2	
 6.8926088E+7,	-1.8831314E+0,	 2.0135319E+2	
 6.8926228E+7,	-1.8730070E+0,	 2.0149243E+2	
 6.8926368E+7,	-1.8628827E+0,	 2.0145579E+2	
 6.8926508E+7,	-1.8527583E+0,	 2.0164387E+2	
 6.8926648E+7,	-1.8426339E+0,	 2.0182218E+2	
 6.8926788E+7,	-1.8325096E+0,	 2.0181973E+2	
 6.8926928E+7,	-1.8223852E+0,	 2.0197850E+2	
 6.8927068E+7,	-1.8122608E+0,	 2.0205666E+2	
 6.8927208E+7,	-1.8021365E+0,	 2.0212261E+2	
 6.8927348E+7,	-1.7920121E+0,	 2.0223986E+2	
 6.8927488E+7,	-1.7818878E+0,	 2.0225941E+2	
 6.8927628E+7,	-1.7717634E+0,	 2.0231314E+2	
 6.8927768E+7,	-1.7616390E+0,	 2.0219345E+2	
 6.8927908E+7,	-1.7515147E+0,	 2.0226672E+2	
 6.8928048E+7,	-1.7413903E+0,	 2.0215437E+2	
 6.8928188E+7,	-1.7312659E+0,	 2.0197362E+2	
 6.8928328E+7,	-1.7211416E+0,	 2.0199315E+2	
 6.8928468E+7,	-1.7110172E+0,	 2.0172691E+2	
 6.8928608E+7,	-1.7008929E+0,	 2.0168538E+2	
 6.8928748E+7,	-1.6907685E+0,	 2.0141181E+2	
 6.8928888E+7,	-1.6806441E+0,	 2.0125549E+2	
 6.8929028E+7,	-1.6705198E+0,	 2.0108207E+2	
 6.8929168E+7,	-1.6603954E+0,	 2.0080361E+2	
 6.8929308E+7,	-1.6502710E+0,	 2.0058377E+2	
 6.8929448E+7,	-1.6401467E+0,	 2.0037860E+2	
 6.8929588E+7,	-1.6300223E+0,	 2.0013189E+2	
 6.8929728E+7,	-1.6198980E+0,	 1.9998290E+2	
 6.8929868E+7,	-1.6097736E+0,	 1.9973375E+2	
 6.8930008E+7,	-1.5996492E+0,	 1.9965315E+2	
 6.8930148E+7,	-1.5895249E+0,	 1.9951393E+2	
 6.8930288E+7,	-1.5794005E+0,	 1.9929898E+2	
 6.8930428E+7,	-1.5692761E+0,	 1.9909623E+2	
 6.8930568E+7,	-1.5591518E+0,	 1.9872008E+2	
 6.8930708E+7,	-1.5490274E+0,	 1.9848314E+2	
 6.8930848E+7,	-1.5389031E+0,	 1.9829506E+2	
 6.8930988E+7,	-1.5287787E+0,	 1.9798486E+2	
 6.8931128E+7,	-1.5186543E+0,	 1.9774547E+2	
 6.8931268E+7,	-1.5085300E+0,	 1.9736443E+2	
 6.8931408E+7,	-1.4984056E+0,	 1.9713727E+2	
 6.8931548E+7,	-1.4882812E+0,	 1.9673912E+2	
 6.8931688E+7,	-1.4781569E+0,	 1.9651686E+2	
 6.8931828E+7,	-1.4680325E+0,	 1.9652174E+2	
 6.8931968E+7,	-1.4579082E+0,	 1.9634587E+2	
 6.8932108E+7,	-1.4477838E+0,	 1.9682707E+2	
 6.8932248E+7,	-1.4376594E+0,	 1.9729359E+2	
 6.8932388E+7,	-1.4275351E+0,	 1.9765998E+2	
 6.8932528E+7,	-1.4174107E+0,	 1.9801173E+2	
 6.8932668E+7,	-1.4072864E+0,	 1.9823399E+2	
 6.8932808E+7,	-1.3971620E+0,	 1.9849291E+2	
 6.8932948E+7,	-1.3870376E+0,	 1.9882266E+2	
 6.8933088E+7,	-1.3769133E+0,	 1.9923791E+2	
 6.8933228E+7,	-1.3667889E+0,	 1.9969955E+2	
 6.8933368E+7,	-1.3566645E+0,	 2.0015632E+2	
 6.8933508E+7,	-1.3465402E+0,	 2.0079140E+2	
 6.8933648E+7,	-1.3364158E+0,	 2.0136297E+2	
 6.8933788E+7,	-1.3262915E+0,	 2.0177576E+2	
 6.8933928E+7,	-1.3161671E+0,	 2.0238641E+2	
 6.8934068E+7,	-1.3060427E+0,	 2.0266242E+2	
 6.8934208E+7,	-1.2959184E+0,	 2.0352711E+2	
 6.8934348E+7,	-1.2857940E+0,	 2.0392525E+2	
 6.8934488E+7,	-1.2756696E+0,	 2.0393991E+2	
 6.8934628E+7,	-1.2655453E+0,	 2.0398143E+2	
 6.8934768E+7,	-1.2554209E+0,	 2.0403761E+2	
 6.8934908E+7,	-1.2452966E+0,	 2.0424280E+2	
 6.8935048E+7,	-1.2351722E+0,	 2.0420127E+2	
 6.8935188E+7,	-1.2250478E+0,	 2.0415729E+2	
 6.8935328E+7,	-1.2149235E+0,	 2.0407914E+2	
 6.8935468E+7,	-1.2047991E+0,	 2.0375428E+2	
 6.8935608E+7,	-1.1946747E+0,	 2.0345871E+2	
 6.8935748E+7,	-1.1845504E+0,	 2.0319003E+2	
 6.8935888E+7,	-1.1744260E+0,	 2.0304592E+2	
 6.8936028E+7,	-1.1643017E+0,	 2.0261358E+2	
 6.8936168E+7,	-1.1541773E+0,	 2.0202979E+2	
 6.8936308E+7,	-1.1440529E+0,	 2.0141914E+2	
 6.8936448E+7,	-1.1339286E+0,	 2.0042257E+2	
 6.8936588E+7,	-1.1238042E+0,	 1.9972399E+2	
 6.8936728E+7,	-1.1136798E+0,	 1.9911821E+2	
 6.8936868E+7,	-1.1035555E+0,	 1.9850269E+2	
 6.8937008E+7,	-1.0934311E+0,	 1.9792379E+2	
 6.8937148E+7,	-1.0833068E+0,	 1.9699071E+2	
 6.8937288E+7,	-1.0731824E+0,	 1.9615291E+2	
 6.8937428E+7,	-1.0630580E+0,	 1.9542500E+2	
 6.8937568E+7,	-1.0529337E+0,	 1.9458720E+2	
 6.8937708E+7,	-1.0428093E+0,	 1.9421104E+2	
 6.8937848E+7,	-1.0326849E+0,	 1.9384709E+2	
 6.8937988E+7,	-1.0225606E+0,	 1.9355398E+2	
 6.8938128E+7,	-1.0124362E+0,	 1.9334148E+2	
 6.8938268E+7,	-1.0023119E+0,	 1.9321935E+2	
 6.8938408E+7,	-9.9218750E-1,	 1.9323155E+2	
 6.8938548E+7,	-9.8206314E-1,	 1.9311431E+2	
 6.8938688E+7,	-9.7193878E-1,	 1.9317293E+2	
 6.8938828E+7,	-9.6181441E-1,	 1.9318026E+2	
 6.8938968E+7,	-9.5169005E-1,	 1.9325598E+2	
 6.8939108E+7,	-9.4156569E-1,	 1.9349292E+2	
 6.8939248E+7,	-9.3144133E-1,	 1.9362725E+2	
