Temps___(ms):,	Pos.cal.(um):,	Tension_(mV):	
 7.2692990E+7,	-4.0280788E+2,	 6.0180265E+2	
 7.2693130E+7,	-4.0230166E+2,	 6.3974845E+2	
 7.2693270E+7,	-4.0179544E+2,	 6.0040057E+2	
 7.2693410E+7,	-4.0128922E+2,	 5.1252073E+2	
 7.2693550E+7,	-4.0078300E+2,	 4.9350023E+2	
 7.2693690E+7,	-4.0027679E+2,	 5.6749874E+2	
 7.2693830E+7,	-3.9977057E+2,	 6.1677819E+2	
 7.2693970E+7,	-3.9926435E+2,	 5.5063754E+2	
 7.2694110E+7,	-3.9875813E+2,	 5.5201024E+2	
 7.2694250E+7,	-3.9825191E+2,	 6.2151200E+2	
 7.2694390E+7,	-3.9774570E+2,	 5.5451882E+2	
 7.2694530E+7,	-3.9723948E+2,	 4.7266978E+2	
 7.2694670E+7,	-3.9673326E+2,	 4.9886176E+2	
 7.2694810E+7,	-3.9622704E+2,	 5.0293112E+2	
 7.2694950E+7,	-3.9572082E+2,	 5.1234001E+2	
 7.2695090E+7,	-3.9521460E+2,	 6.0114557E+2	
 7.2695230E+7,	-3.9470839E+2,	 6.3279188E+2	
 7.2695370E+7,	-3.9420217E+2,	 5.7462871E+2	
 7.2695510E+7,	-3.9369595E+2,	 6.1557645E+2	
 7.2695650E+7,	-3.9318973E+2,	 6.6713244E+2	
 7.2695790E+7,	-3.9268351E+2,	 5.5168295E+2	
 7.2695930E+7,	-3.9217730E+2,	 5.5512214E+2	
 7.2696070E+7,	-3.9167108E+2,	 6.3422084E+2	
 7.2696210E+7,	-3.9116486E+2,	 6.1716658E+2	
 7.2696350E+7,	-3.9065864E+2,	 6.4771372E+2	
 7.2696490E+7,	-3.9015242E+2,	 5.9180266E+2	
 7.2696630E+7,	-3.8964621E+2,	 5.8800930E+2	
 7.2696770E+7,	-3.8913999E+2,	 6.3640696E+2	
 7.2696910E+7,	-3.8863377E+2,	 5.6682950E+2	
 7.2697050E+7,	-3.8812755E+2,	 6.0932094E+2	
 7.2697190E+7,	-3.8762133E+2,	 5.5925989E+2	
 7.2697330E+7,	-3.8711511E+2,	 5.9969467E+2	
 7.2697470E+7,	-3.8660890E+2,	 5.7803613E+2	
 7.2697610E+7,	-3.8610268E+2,	 6.1423546E+2	
 7.2697750E+7,	-3.8559646E+2,	 5.7561797E+2	
 7.2697890E+7,	-3.8509024E+2,	 5.4020518E+2	
 7.2698030E+7,	-3.8458402E+2,	 4.8973620E+2	
 7.2698170E+7,	-3.8407781E+2,	 4.6468002E+2	
 7.2698310E+7,	-3.8357159E+2,	 5.5246454E+2	
 7.2698450E+7,	-3.8306537E+2,	 5.2928185E+2	
 7.2698590E+7,	-3.8255915E+2,	 5.3466046E+2	
 7.2698730E+7,	-3.8205293E+2,	 5.1591110E+2	
 7.2698870E+7,	-3.8154672E+2,	 4.5331949E+2	
 7.2699010E+7,	-3.8104050E+2,	 5.7006353E+2	
 7.2699150E+7,	-3.8053428E+2,	 6.0533708E+2	
 7.2699290E+7,	-3.8002806E+2,	 5.0860530E+2	
 7.2699430E+7,	-3.7952184E+2,	 6.1197609E+2	
 7.2699570E+7,	-3.7901562E+2,	 6.7168295E+2	
 7.2699710E+7,	-3.7850941E+2,	 5.9974110E+2	
 7.2699850E+7,	-3.7800319E+2,	 5.3752077E+2	
 7.2699990E+7,	-3.7749697E+2,	 5.4625303E+2	
 7.2700130E+7,	-3.7699075E+2,	 5.4027843E+2	
 7.2700270E+7,	-3.7648453E+2,	 5.2344406E+2	
 7.2700410E+7,	-3.7597832E+2,	 4.7321445E+2	
 7.2700550E+7,	-3.7547210E+2,	 5.7942110E+2	
 7.2700690E+7,	-3.7496588E+2,	 6.5641183E+2	
 7.2700830E+7,	-3.7445966E+2,	 5.9375185E+2	
 7.2700970E+7,	-3.7395344E+2,	 6.3022226E+2	
 7.2701110E+7,	-3.7344723E+2,	 6.3497555E+2	
 7.2701250E+7,	-3.7294101E+2,	 6.3351732E+2	
 7.2701390E+7,	-3.7243479E+2,	 6.4465314E+2	
 7.2701530E+7,	-3.7192857E+2,	 5.8050805E+2	
 7.2701670E+7,	-3.7142235E+2,	 4.9409869E+2	
 7.2701810E+7,	-3.7091614E+2,	 4.4505617E+2	
 7.2701950E+7,	-3.7040992E+2,	 4.8870054E+2	
 7.2702090E+7,	-3.6990370E+2,	 5.8170247E+2	
 7.2702230E+7,	-3.6939748E+2,	 5.0585002E+2	
 7.2702370E+7,	-3.6889126E+2,	 5.1167804E+2	
 7.2702510E+7,	-3.6838504E+2,	 6.0766977E+2	
 7.2702650E+7,	-3.6787883E+2,	 5.1292622E+2	
 7.2702790E+7,	-3.6737261E+2,	 4.3416950E+2	
 7.2702930E+7,	-3.6686639E+2,	 4.6816805E+2	
 7.2703070E+7,	-3.6636017E+2,	 5.9779191E+2	
 7.2703210E+7,	-3.6585395E+2,	 6.6321450E+2	
 7.2703350E+7,	-3.6534774E+2,	 6.3118464E+2	
 7.2703490E+7,	-3.6484152E+2,	 6.4772838E+2	
 7.2703630E+7,	-3.6433530E+2,	 6.8586957E+2	
 7.2703770E+7,	-3.6382908E+2,	 5.9393257E+2	
 7.2703910E+7,	-3.6332286E+2,	 5.4350758E+2	
 7.2704050E+7,	-3.6281665E+2,	 4.8901320E+2	
 7.2704190E+7,	-3.6231043E+2,	 4.5053250E+2	
 7.2704330E+7,	-3.6180421E+2,	 4.9034196E+2	
 7.2704470E+7,	-3.6129799E+2,	 4.6841964E+2	
 7.2704610E+7,	-3.6079177E+2,	 4.4381046E+2	
 7.2704750E+7,	-3.6028555E+2,	 5.9915733E+2	
 7.2704890E+7,	-3.5977934E+2,	 5.8561307E+2	
 7.2705030E+7,	-3.5927312E+2,	 4.4871274E+2	
 7.2705170E+7,	-3.5876690E+2,	 4.8617977E+2	
 7.2705310E+7,	-3.5826068E+2,	 4.7566438E+2	
 7.2705450E+7,	-3.5775446E+2,	 5.6157547E+2	
 7.2705590E+7,	-3.5724825E+2,	 5.3611875E+2	
 7.2705730E+7,	-3.5674203E+2,	 4.9701515E+2	
 7.2705870E+7,	-3.5623581E+2,	 5.3343427E+2	
 7.2706010E+7,	-3.5572959E+2,	 4.8761359E+2	
 7.2706150E+7,	-3.5522337E+2,	 5.8444798E+2	
 7.2706290E+7,	-3.5471716E+2,	 6.0206646E+2	
 7.2706430E+7,	-3.5421094E+2,	 5.8632874E+2	
 7.2706570E+7,	-3.5370472E+2,	 6.5587199E+2	
 7.2706710E+7,	-3.5319850E+2,	 6.3459939E+2	
 7.2706850E+7,	-3.5269228E+2,	 4.7151440E+2	
 7.2706990E+7,	-3.5218607E+2,	 5.1226914E+2	
 7.2707130E+7,	-3.5167985E+2,	 5.4288960E+2	
 7.2707270E+7,	-3.5117363E+2,	 5.8267218E+2	
 7.2707410E+7,	-3.5066741E+2,	 6.5747923E+2	
 7.2707550E+7,	-3.5016119E+2,	 5.7194918E+2	
 7.2707690E+7,	-3.4965497E+2,	 6.2470448E+2	
 7.2707830E+7,	-3.4914876E+2,	 7.2777480E+2	
 7.2707970E+7,	-3.4864254E+2,	 5.8850271E+2	
 7.2708110E+7,	-3.4813632E+2,	 4.5453346E+2	
 7.2708250E+7,	-3.4763010E+2,	 5.0700778E+2	
 7.2708390E+7,	-3.4712388E+2,	 4.9751833E+2	
 7.2708530E+7,	-3.4661767E+2,	 4.7688082E+2	
 7.2708670E+7,	-3.4611145E+2,	 4.4426477E+2	
 7.2708810E+7,	-3.4560523E+2,	 5.9380311E+2	
 7.2708950E+7,	-3.4509901E+2,	 7.3709577E+2	
 7.2709090E+7,	-3.4459279E+2,	 5.9389108E+2	
 7.2709230E+7,	-3.4408658E+2,	 4.6901318E+2	
 7.2709370E+7,	-3.4358036E+2,	 6.1857110E+2	
 7.2709510E+7,	-3.4307414E+2,	 5.4024184E+2	
 7.2709650E+7,	-3.4256792E+2,	 5.2230823E+2	
 7.2709790E+7,	-3.4206170E+2,	 5.8485097E+2	
 7.2709930E+7,	-3.4155548E+2,	 4.5940399E+2	
 7.2710070E+7,	-3.4104927E+2,	 4.3347338E+2	
 7.2710210E+7,	-3.4054305E+2,	 5.1898146E+2	
 7.2710350E+7,	-3.4003683E+2,	 5.7141179E+2	
 7.2710490E+7,	-3.3953061E+2,	 5.0629455E+2	
 7.2710630E+7,	-3.3902439E+2,	 5.3058136E+2	
 7.2710770E+7,	-3.3851818E+2,	 6.7367369E+2	
 7.2710910E+7,	-3.3801196E+2,	 5.5538350E+2	
 7.2711050E+7,	-3.3750574E+2,	 3.9671227E+2	
 7.2711190E+7,	-3.3699952E+2,	 4.8177820E+2	
 7.2711330E+7,	-3.3649330E+2,	 6.8066925E+2	
 7.2711470E+7,	-3.3598709E+2,	 6.8754518E+2	
 7.2711610E+7,	-3.3548087E+2,	 5.9463358E+2	
 7.2711750E+7,	-3.3497465E+2,	 5.7343185E+2	
 7.2711890E+7,	-3.3446843E+2,	 6.8097460E+2	
 7.2712030E+7,	-3.3396221E+2,	 5.4027110E+2	
 7.2712170E+7,	-3.3345599E+2,	 4.4022715E+2	
 7.2712310E+7,	-3.3294978E+2,	 5.5688810E+2	
 7.2712450E+7,	-3.3244356E+2,	 5.5217636E+2	
 7.2712590E+7,	-3.3193734E+2,	 4.3042746E+2	
 7.2712730E+7,	-3.3143112E+2,	 5.4428434E+2	
 7.2712870E+7,	-3.3092490E+2,	 6.6966051E+2	
 7.2713010E+7,	-3.3041869E+2,	 5.9125549E+2	
 7.2713150E+7,	-3.2991247E+2,	 6.0479969E+2	
 7.2713290E+7,	-3.2940625E+2,	 7.1240354E+2	
 7.2713430E+7,	-3.2890003E+2,	 6.1451638E+2	
 7.2713570E+7,	-3.2839381E+2,	 5.8919883E+2	
 7.2713710E+7,	-3.2788760E+2,	 5.0378358E+2	
 7.2713850E+7,	-3.2738138E+2,	 5.2085489E+2	
 7.2713990E+7,	-3.2687516E+2,	 6.8703467E+2	
 7.2714130E+7,	-3.2636894E+2,	 6.3340008E+2	
 7.2714270E+7,	-3.2586272E+2,	 6.2388861E+2	
 7.2714410E+7,	-3.2535651E+2,	 4.9844164E+2	
 7.2714550E+7,	-3.2485029E+2,	 5.9597951E+2	
 7.2714690E+7,	-3.2434407E+2,	 5.7382023E+2	
 7.2714830E+7,	-3.2383785E+2,	 6.1686373E+2	
 7.2714970E+7,	-3.2333163E+2,	 5.2121395E+2	
 7.2715110E+7,	-3.2282541E+2,	 6.0267955E+2	
 7.2715250E+7,	-3.2231920E+2,	 5.5988276E+2	
 7.2715390E+7,	-3.2181298E+2,	 6.0910845E+2	
 7.2715530E+7,	-3.2130676E+2,	 5.7732534E+2	
 7.2715670E+7,	-3.2080054E+2,	 6.1886173E+2	
 7.2715810E+7,	-3.2029432E+2,	 7.1039325E+2	
 7.2715950E+7,	-3.1978811E+2,	 6.2682950E+2	
 7.2716090E+7,	-3.1928189E+2,	 6.0577428E+2	
 7.2716230E+7,	-3.1877567E+2,	 5.7674402E+2	
 7.2716370E+7,	-3.1826945E+2,	 4.5010990E+2	
 7.2716510E+7,	-3.1776323E+2,	 4.7789937E+2	
 7.2716650E+7,	-3.1725702E+2,	 5.1870543E+2	
 7.2716790E+7,	-3.1675080E+2,	 5.7967269E+2	
 7.2716930E+7,	-3.1624458E+2,	 4.8970932E+2	
 7.2717070E+7,	-3.1573836E+2,	 5.2670735E+2	
 7.2717210E+7,	-3.1523214E+2,	 6.6651928E+2	
 7.2717350E+7,	-3.1472592E+2,	 5.0404251E+2	
 7.2717490E+7,	-3.1421971E+2,	 3.8313630E+2	
 7.2717630E+7,	-3.1371349E+2,	 4.7594774E+2	
 7.2717770E+7,	-3.1320727E+2,	 5.7167071E+2	
 7.2717910E+7,	-3.1270105E+2,	 5.0054711E+2	
 7.2718050E+7,	-3.1219483E+2,	 6.2582558E+2	
 7.2718190E+7,	-3.1168862E+2,	 6.7708600E+2	
 7.2718330E+7,	-3.1118240E+2,	 4.8013189E+2	
 7.2718470E+7,	-3.1067618E+2,	 6.0983634E+2	
 7.2718610E+7,	-3.1016996E+2,	 6.8750614E+2	
 7.2718750E+7,	-3.0966374E+2,	 4.9652663E+2	
 7.2718890E+7,	-3.0915753E+2,	 4.6514654E+2	
 7.2719030E+7,	-3.0865131E+2,	 5.7044697E+2	
 7.2719170E+7,	-3.0814509E+2,	 5.0120419E+2	
 7.2719310E+7,	-3.0763887E+2,	 4.9916217E+2	
