Temps___(ms):,	Pos.cal.(um):,	 Tension_(mV):	
 7.0481957E+7,	-4.7685746E+0,	 1.3087837E+3	
 7.0482037E+7,	-4.7179528E+0,	 1.3099414E+3	
 7.0482117E+7,	-4.6673310E+0,	 1.3157939E+3	
 7.0482197E+7,	-4.6167092E+0,	 1.3216903E+3	
 7.0482277E+7,	-4.5660874E+0,	 1.3209184E+3	
 7.0482357E+7,	-4.5154656E+0,	 1.3147826E+3	
 7.0482437E+7,	-4.4648437E+0,	 1.3106644E+3	
 7.0482517E+7,	-4.4142219E+0,	 1.3096434E+3	
 7.0482601E+7,	-4.3636001E+0,	 1.3133219E+3	
 7.0482681E+7,	-4.3129783E+0,	 1.3191061E+3	
 7.0482761E+7,	-4.2623565E+0,	 1.3237226E+3	
 7.0482841E+7,	-4.2117347E+0,	 1.3238007E+3	
 7.0482921E+7,	-4.1611129E+0,	 1.3196093E+3	
 7.0483001E+7,	-4.1104911E+0,	 1.3122375E+3	
 7.0483081E+7,	-4.0598693E+0,	 1.3075477E+3	
 7.0483161E+7,	-4.0092474E+0,	 1.3117588E+3	
 7.0483241E+7,	-3.9586256E+0,	 1.3191940E+3	
 7.0483321E+7,	-3.9080038E+0,	 1.3230777E+3	
 7.0483401E+7,	-3.8573820E+0,	 1.3183587E+3	
 7.0483481E+7,	-3.8067602E+0,	 1.3113679E+3	
 7.0483561E+7,	-3.7561384E+0,	 1.3096629E+3	
 7.0483642E+7,	-3.7055166E+0,	 1.3147045E+3	
 7.0483722E+7,	-3.6548948E+0,	 1.3219053E+3	
 7.0483802E+7,	-3.6042730E+0,	 1.3230045E+3	
 7.0483882E+7,	-3.5536511E+0,	 1.3171374E+3	
 7.0483962E+7,	-3.5030293E+0,	 1.3114119E+3	
 7.0484042E+7,	-3.4524075E+0,	 1.3073328E+3	
 7.0484122E+7,	-3.4017857E+0,	 1.3098485E+3	
 7.0484202E+7,	-3.3511639E+0,	 1.3178897E+3	
 7.0484282E+7,	-3.3005421E+0,	 1.3244505E+3	
 7.0484362E+7,	-3.2499203E+0,	 1.3231510E+3	
 7.0484442E+7,	-3.1992985E+0,	 1.3171276E+3	
 7.0484522E+7,	-3.1486767E+0,	 1.3106155E+3	
 7.0484602E+7,	-3.0980548E+0,	 1.3069419E+3	
 7.0484682E+7,	-3.0474330E+0,	 1.3103811E+3	
 7.0484762E+7,	-2.9968112E+0,	 1.3168540E+3	
 7.0484842E+7,	-2.9461894E+0,	 1.3238593E+3	
 7.0484922E+7,	-2.8955676E+0,	 1.3262384E+3	
 7.0485002E+7,	-2.8449458E+0,	 1.3237762E+3	
 7.0485082E+7,	-2.7943240E+0,	 1.3175037E+3	
 7.0485162E+7,	-2.7437022E+0,	 1.3104641E+3	
 7.0485242E+7,	-2.6930804E+0,	 1.3089888E+3	
 7.0485323E+7,	-2.6424585E+0,	 1.3146948E+3	
 7.0485403E+7,	-2.5918367E+0,	 1.3229507E+3	
 7.0485483E+7,	-2.5412149E+0,	 1.3235857E+3	
 7.0485563E+7,	-2.4905931E+0,	 1.3171129E+3	
 7.0485643E+7,	-2.4399713E+0,	 1.3104886E+3	
 7.0485723E+7,	-2.3893495E+0,	 1.3072008E+3	
 7.0485803E+7,	-2.3387277E+0,	 1.3122424E+3	
 7.0485883E+7,	-2.2881059E+0,	 1.3198487E+3	
 7.0485963E+7,	-2.2374841E+0,	 1.3258134E+3	
 7.0486043E+7,	-2.1868622E+0,	 1.3252956E+3	
 7.0486123E+7,	-2.1362404E+0,	 1.3174304E+3	
 7.0486203E+7,	-2.0856186E+0,	 1.3095506E+3	
 7.0486283E+7,	-2.0349968E+0,	 1.3099658E+3	
 7.0486363E+7,	-1.9843750E+0,	 1.3170201E+3	
 7.0486443E+7,	-1.9337532E+0,	 1.3250953E+3	
 7.0486523E+7,	-1.8831314E+0,	 1.3268638E+3	
 7.0486603E+7,	-1.8325096E+0,	 1.3220470E+3	
 7.0486683E+7,	-1.7818878E+0,	 1.3137958E+3	
 7.0486763E+7,	-1.7312659E+0,	 1.3073963E+3	
 7.0486843E+7,	-1.6806441E+0,	 1.3065169E+3	
 7.0486923E+7,	-1.6300223E+0,	 1.3117734E+3	
 7.0487003E+7,	-1.5794005E+0,	 1.3189204E+3	
 7.0487083E+7,	-1.5287787E+0,	 1.3259649E+3	
 7.0487163E+7,	-1.4781569E+0,	 1.3272985E+3	
 7.0487243E+7,	-1.4275351E+0,	 1.3206155E+3	
 7.0487325E+7,	-1.3769133E+0,	 1.3101759E+3	
 7.0487408E+7,	-1.3262915E+0,	 1.3065706E+3	
 7.0487488E+7,	-1.2756696E+0,	 1.3135662E+3	
 7.0487568E+7,	-1.2250478E+0,	 1.3233513E+3	
 7.0487648E+7,	-1.1744260E+0,	 1.3249732E+3	
 7.0487728E+7,	-1.1238042E+0,	 1.3168296E+3	
 7.0487808E+7,	-1.0731824E+0,	 1.3092331E+3	
 7.0487888E+7,	-1.0225606E+0,	 1.3071666E+3	
 7.0487971E+7,	-9.7193878E-1,	 1.3140107E+3	
 7.0488051E+7,	-9.2131696E-1,	 1.3231950E+3	
 7.0488131E+7,	-8.7069515E-1,	 1.3279238E+3	
 7.0488211E+7,	-8.2007334E-1,	 1.3246948E+3	
 7.0488291E+7,	-7.6945153E-1,	 1.3125941E+3	
 7.0488372E+7,	-7.1882972E-1,	 1.3055692E+3	
 7.0488452E+7,	-6.6820791E-1,	 1.3089399E+3	
 7.0488532E+7,	-6.1758610E-1,	 1.3174890E+3	
 7.0488612E+7,	-5.6696429E-1,	 1.3258085E+3	
 7.0488692E+7,	-5.1634247E-1,	 1.3276552E+3	
 7.0488772E+7,	-4.6572066E-1,	 1.3234539E+3	
 7.0488857E+7,	-4.1509885E-1,	 1.3123302E+3	
 7.0488938E+7,	-3.6447704E-1,	 1.3046263E+3	
 7.0489018E+7,	-3.1385523E-1,	 1.3039815E+3	
