Temps___(ms):,	Pos.cal.(um):,	Tension_(mV):	
 7.2406037E+7,	-2.1666135E+0,	 3.5498047E+2	
 7.2406177E+7,	-2.1564892E+0,	 3.6783829E+2	
 7.2406317E+7,	-2.1463648E+0,	 3.9030042E+2	
 7.2406459E+7,	-2.1362404E+0,	 4.2747679E+2	
 7.2406603E+7,	-2.1261161E+0,	 4.6928188E+2	
 7.2406743E+7,	-2.1159917E+0,	 5.0687349E+2	
 7.2406883E+7,	-2.1058673E+0,	 5.5077428E+2	
 7.2407023E+7,	-2.0957430E+0,	 6.1356378E+2	
 7.2407163E+7,	-2.0856186E+0,	 6.7038107E+2	
 7.2407305E+7,	-2.0754943E+0,	 7.1550071E+2	
 7.2407445E+7,	-2.0653699E+0,	 7.4072057E+2	
 7.2407585E+7,	-2.0552455E+0,	 7.4751830E+2	
 7.2407725E+7,	-2.0451212E+0,	 7.4881047E+2	
 7.2407865E+7,	-2.0349968E+0,	 7.5064242E+2	
 7.2408005E+7,	-2.0248724E+0,	 7.4054712E+2	
 7.2408145E+7,	-2.0147481E+0,	 7.2565216E+2	
 7.2408285E+7,	-2.0046237E+0,	 7.0745724E+2	
 7.2408425E+7,	-1.9944994E+0,	 6.8284565E+2	
 7.2408565E+7,	-1.9843750E+0,	 6.5147537E+2	
 7.2408705E+7,	-1.9742506E+0,	 6.1718124E+2	
 7.2408845E+7,	-1.9641263E+0,	 5.8457983E+2	
 7.2408985E+7,	-1.9540019E+0,	 5.5997556E+2	
 7.2409129E+7,	-1.9438776E+0,	 5.2309477E+2	
 7.2409269E+7,	-1.9337532E+0,	 4.8353690E+2	
 7.2409409E+7,	-1.9236288E+0,	 4.5946997E+2	
 7.2409549E+7,	-1.9135045E+0,	 4.3757939E+2	
 7.2409689E+7,	-1.9033801E+0,	 4.1902295E+2	
 7.2409829E+7,	-1.8932557E+0,	 3.9863214E+2	
 7.2409969E+7,	-1.8831314E+0,	 3.8408890E+2	
 7.2410109E+7,	-1.8730070E+0,	 3.7378114E+2	
 7.2410249E+7,	-1.8628827E+0,	 3.7129214E+2	
 7.2410389E+7,	-1.8527583E+0,	 3.7342453E+2	
 7.2410529E+7,	-1.8426339E+0,	 3.8193941E+2	
 7.2410669E+7,	-1.8325096E+0,	 3.9383000E+2	
 7.2410809E+7,	-1.8223852E+0,	 4.0725452E+2	
 7.2410949E+7,	-1.8122608E+0,	 4.2606497E+2	
 7.2411089E+7,	-1.8021365E+0,	 4.4535664E+2	
 7.2411229E+7,	-1.7920121E+0,	 4.7655839E+2	
 7.2411369E+7,	-1.7818878E+0,	 5.2038836E+2	
 7.2411509E+7,	-1.7717634E+0,	 5.5343187E+2	
 7.2411649E+7,	-1.7616390E+0,	 5.8950901E+2	
 7.2411789E+7,	-1.7515147E+0,	 6.2850267E+2	
 7.2411930E+7,	-1.7413903E+0,	 6.5709090E+2	
 7.2412074E+7,	-1.7312659E+0,	 6.9158280E+2	
 7.2412214E+7,	-1.7211416E+0,	 7.2303861E+2	
 7.2412357E+7,	-1.7110172E+0,	 7.4175620E+2	
 7.2412497E+7,	-1.7008929E+0,	 7.5158769E+2	
 7.2412637E+7,	-1.6907685E+0,	 7.5649732E+2	
 7.2412777E+7,	-1.6806441E+0,	 7.5667804E+2	
 7.2412917E+7,	-1.6705198E+0,	 7.4984610E+2	
 7.2413057E+7,	-1.6603954E+0,	 7.3937470E+2	
 7.2413197E+7,	-1.6502710E+0,	 7.2916466E+2	
 7.2413337E+7,	-1.6401467E+0,	 7.1709818E+2	
 7.2413477E+7,	-1.6300223E+0,	 7.0159012E+2	
 7.2413617E+7,	-1.6198980E+0,	 6.8468004E+2	
 7.2413757E+7,	-1.6097736E+0,	 6.6511238E+2	
 7.2413897E+7,	-1.5996492E+0,	 6.4617246E+2	
 7.2414042E+7,	-1.5895249E+0,	 6.2355399E+2	
 7.2414182E+7,	-1.5794005E+0,	 6.0012943E+2	
 7.2414322E+7,	-1.5692761E+0,	 5.6936002E+2	
 7.2414462E+7,	-1.5591518E+0,	 5.3485835E+2	
 7.2414602E+7,	-1.5490274E+0,	 5.0178063E+2	
 7.2414742E+7,	-1.5389031E+0,	 4.7074988E+2	
 7.2414882E+7,	-1.5287787E+0,	 4.3642890E+2	
 7.2415022E+7,	-1.5186543E+0,	 4.0474108E+2	
 7.2415162E+7,	-1.5085300E+0,	 3.7612605E+2	
 7.2415302E+7,	-1.4984056E+0,	 3.5237664E+2	
 7.2415442E+7,	-1.4882812E+0,	 3.4272352E+2	
 7.2415582E+7,	-1.4781569E+0,	 3.4541768E+2	
 7.2415722E+7,	-1.4680325E+0,	 3.6089888E+2	
 7.2415867E+7,	-1.4579082E+0,	 3.8769662E+2	
 7.2416007E+7,	-1.4477838E+0,	 4.4785294E+2	
 7.2416147E+7,	-1.4376594E+0,	 5.0731069E+2	
 7.2416288E+7,	-1.4275351E+0,	 5.6477529E+2	
 7.2416428E+7,	-1.4174107E+0,	 6.2457740E+2	
 7.2416568E+7,	-1.4072864E+0,	 6.6665119E+2	
 7.2416708E+7,	-1.3971620E+0,	 6.9440889E+2	
 7.2416849E+7,	-1.3870376E+0,	 7.2723740E+2	
 7.2416989E+7,	-1.3769133E+0,	 7.6032728E+2	
 7.2417129E+7,	-1.3667889E+0,	 7.8214705E+2	
 7.2417269E+7,	-1.3566645E+0,	 7.9043478E+2	
 7.2417409E+7,	-1.3465402E+0,	 7.8915238E+2	
 7.2417549E+7,	-1.3364158E+0,	 7.6995850E+2	
 7.2417689E+7,	-1.3262915E+0,	 7.4660724E+2	
 7.2417829E+7,	-1.3161671E+0,	 7.1664876E+2	
 7.2417969E+7,	-1.3060427E+0,	 6.8230581E+2	
 7.2418113E+7,	-1.2959184E+0,	 5.9223008E+2	
 7.2418256E+7,	-1.2857940E+0,	 5.0402296E+2	
 7.2418396E+7,	-1.2756696E+0,	 4.6024916E+2	
 7.2418536E+7,	-1.2655453E+0,	 4.4178554E+2	
 7.2418676E+7,	-1.2554209E+0,	 4.1134098E+2	
 7.2418816E+7,	-1.2452966E+0,	 3.7617245E+2	
 7.2418956E+7,	-1.2351722E+0,	 3.4355888E+2	
 7.2419096E+7,	-1.2250478E+0,	 3.2786030E+2	
 7.2419236E+7,	-1.2149235E+0,	 3.2391304E+2	
 7.2419376E+7,	-1.2047991E+0,	 3.2886177E+2	
 7.2419516E+7,	-1.1946747E+0,	 3.4343430E+2	
 7.2419656E+7,	-1.1845504E+0,	 3.6322424E+2	
 7.2419796E+7,	-1.1744260E+0,	 3.8273570E+2	
 7.2419936E+7,	-1.1643017E+0,	 4.1706154E+2	
 7.2420081E+7,	-1.1541773E+0,	 4.6133366E+2	
 7.2420221E+7,	-1.1440529E+0,	 5.1279187E+2	
 7.2420361E+7,	-1.1339286E+0,	 5.7260382E+2	
 7.2420501E+7,	-1.1238042E+0,	 6.3062531E+2	
 7.2420641E+7,	-1.1136798E+0,	 6.8067420E+2	
 7.2420782E+7,	-1.1035555E+0,	 7.1715438E+2	
 7.2420924E+7,	-1.0934311E+0,	 7.4756962E+2	
 7.2421064E+7,	-1.0833068E+0,	 7.6985830E+2	
 7.2421204E+7,	-1.0731824E+0,	 7.8009772E+2	
 7.2421344E+7,	-1.0630580E+0,	 7.7758914E+2	
 7.2421489E+7,	-1.0529337E+0,	 7.6826817E+2	
 7.2421629E+7,	-1.0428093E+0,	 7.5553983E+2	
 7.2421769E+7,	-1.0326849E+0,	 7.3720324E+2	
 7.2421909E+7,	-1.0225606E+0,	 7.0834392E+2	
 7.2422049E+7,	-1.0124362E+0,	 6.7589647E+2	
 7.2422189E+7,	-1.0023119E+0,	 6.4534932E+2	
 7.2422329E+7,	-9.9218750E-1,	 6.1723006E+2	
 7.2422469E+7,	-9.8206314E-1,	 5.8864677E+2	
 7.2422612E+7,	-9.7193878E-1,	 5.6119931E+2	
 7.2422756E+7,	-9.6181441E-1,	 5.3181243E+2	
 7.2422896E+7,	-9.5169005E-1,	 5.0137031E+2	
 7.2423036E+7,	-9.4156569E-1,	 4.7078407E+2	
 7.2423176E+7,	-9.3144133E-1,	 4.4321692E+2	
 7.2423316E+7,	-9.2131696E-1,	 4.1282609E+2	
 7.2423456E+7,	-9.1119260E-1,	 3.8540548E+2	
 7.2423596E+7,	-9.0106824E-1,	 3.7174156E+2	
 7.2423736E+7,	-8.9094388E-1,	 3.6544454E+2	
 7.2423876E+7,	-8.8081952E-1,	 3.6761847E+2	
 7.2424016E+7,	-8.7069515E-1,	 3.8916218E+2	
 7.2424156E+7,	-8.6057079E-1,	 4.1636297E+2	
