Temps___(ms):,	Pos.cal.(um):,	Tension_(mV):	
 7.5789516E+7,	-4.4000478E+1,	 3.5906205E+2	
 7.5789562E+7,	-4.3990354E+1,	 4.2256960E+2	
 7.5789607E+7,	-4.3980230E+1,	 5.8378112E+2	
 7.5789653E+7,	-4.3970105E+1,	 6.6927212E+2	
 7.5789698E+7,	-4.3959981E+1,	 7.7186126E+2	
 7.5789743E+7,	-4.3949857E+1,	 8.1338543E+2	
 7.5789789E+7,	-4.3939732E+1,	 8.8910604E+2	
 7.5789834E+7,	-4.3929608E+1,	 9.2574501E+2	
 7.5789879E+7,	-4.3919483E+1,	 9.5261359E+2	
 7.5789924E+7,	-4.3909359E+1,	 9.8680997E+2	
 7.5789969E+7,	-4.3899235E+1,	 9.9658036E+2	
 7.5790015E+7,	-4.3889110E+1,	 9.6726918E+2	
 7.5790060E+7,	-4.3878986E+1,	 8.9643383E+2	
 7.5790106E+7,	-4.3868862E+1,	 8.2071322E+2	
 7.5790151E+7,	-4.3858737E+1,	 8.0605763E+2	
 7.5790197E+7,	-4.3848613E+1,	 7.2789448E+2	
 7.5790242E+7,	-4.3838489E+1,	 6.5705913E+2	
 7.5790288E+7,	-4.3828364E+1,	 5.5691254E+2	
 7.5790333E+7,	-4.3818240E+1,	 4.4211042E+2	
 7.5790378E+7,	-4.3808115E+1,	 3.4440646E+2	
 7.5790423E+7,	-4.3797991E+1,	 2.9066926E+2	
 7.5790468E+7,	-4.3787867E+1,	 2.1250610E+2	
 7.5790514E+7,	-4.3777742E+1,	 1.8075232E+2	
 7.5790559E+7,	-4.3767618E+1,	 1.2457255E+2	
 7.5790604E+7,	-4.3757494E+1,	 9.7703956E+1	
 7.5790650E+7,	-4.3747369E+1,	 8.5490964E+1	
 7.5790695E+7,	-4.3737245E+1,	 8.7933563E+1	
 7.5790740E+7,	-4.3727121E+1,	 9.7703956E+1	
 7.5790786E+7,	-4.3716996E+1,	 1.0747435E+2	
