Temps___(ms):, Pos.cal.(�m):, Tension_(mV):
 8.4327842E+7, -4.9417012E+1, 4.9705422E+2
 8.4328002E+7, -4.9366390E+1, 5.0190520E+2
 8.4328162E+7, -4.9315768E+1, 5.0997066E+2
 8.4328322E+7, -4.9265147E+1, 5.1057160E+2
 8.4328482E+7, -4.9214525E+1, 5.0097215E+2
 8.4328642E+7, -4.9163903E+1, 4.9679044E+2
 8.4328802E+7, -4.9113281E+1, 5.0781631E+2
 8.4328962E+7, -4.9062659E+1, 5.1130438E+2
 8.4329122E+7, -4.9012038E+1, 5.1385444E+2
 8.4329282E+7, -4.8961416E+1, 5.0474352E+2
 8.4329442E+7, -4.8910794E+1, 4.9680996E+2
 8.4329602E+7, -4.8860172E+1, 5.0235957E+2
 8.4329762E+7, -4.8809550E+1, 5.1256961E+2
 8.4329922E+7, -4.8758929E+1, 5.1460671E+2
 8.4330082E+7, -4.8708307E+1, 5.0604790E+2
 8.4330242E+7, -4.8657685E+1, 4.9665365E+2
 8.4330402E+7, -4.8607063E+1, 5.0262827E+2
 8.4330562E+7, -4.8556441E+1, 5.1221788E+2
 8.4330722E+7, -4.8505820E+1, 5.1251101E+2
 8.4330882E+7, -4.8455198E+1, 5.0787008E+2
 8.4331042E+7, -4.8404576E+1, 4.9975085E+2
 8.4331202E+7, -4.8353954E+1, 5.0173914E+2
 8.4331362E+7, -4.8303332E+1, 5.0819248E+2
 8.4331522E+7, -4.8252710E+1, 5.1274061E+2
 8.4331682E+7, -4.8202089E+1, 5.0464582E+2
 8.4331842E+7, -4.8151467E+1, 5.0127506E+2
 8.4332002E+7, -4.8100845E+1, 4.9821201E+2
 8.4332162E+7, -4.8050223E+1, 5.0720078E+2
 8.4332322E+7, -4.7999601E+1, 5.1797754E+2
 8.4332482E+7, -4.7948980E+1, 5.0907183E+2
 8.4332642E+7, -4.7898358E+1, 4.9727896E+2
 8.4332802E+7, -4.7847736E+1, 5.0004399E+2
 8.4332962E+7, -4.7797114E+1, 5.0801659E+2
 8.4333122E+7, -4.7746492E+1, 5.1523203E+2
 8.4333282E+7, -4.7695871E+1, 5.0986320E+2
 8.4333442E+7, -4.7645249E+1, 4.9947730E+2
 8.4333602E+7, -4.7594627E+1, 5.0059599E+2
 8.4333762E+7, -4.7544005E+1, 5.0931120E+2
 8.4333922E+7, -4.7493383E+1, 5.1510012E+2
 8.4334082E+7, -4.7442761E+1, 5.0894970E+2
 8.4334242E+7, -4.7392140E+1, 4.9995604E+2
 8.4334402E+7, -4.7341518E+1, 5.0371277E+2
 8.4334562E+7, -4.7290896E+1, 5.1137275E+2
 8.4334722E+7, -4.7240274E+1, 5.0982416E+2
 8.4334882E+7, -4.7189652E+1, 5.0766486E+2
 8.4335042E+7, -4.7139031E+1, 5.0276011E+2
 8.4335202E+7, -4.7088409E+1, 5.0333661E+2
 8.4335362E+7, -4.7037787E+1, 5.0586224E+2
 8.4335522E+7, -4.6987165E+1, 5.1154864E+2
 8.4335682E+7, -4.6936543E+1, 5.0716168E+2
 8.4335842E+7, -4.6885922E+1, 5.0485587E+2
 8.4336002E+7, -4.6835300E+1, 5.0214946E+2
 8.4336162E+7, -4.6784678E+1, 5.0724477E+2
 8.4336322E+7, -4.6734056E+1, 5.1256961E+2
 8.4336482E+7, -4.6683434E+1, 5.0611627E+2
 8.4336642E+7, -4.6632812E+1, 4.9945286E+2
 8.4336802E+7, -4.6582191E+1, 5.0488031E+2
 8.4336962E+7, -4.6531569E+1, 5.0903761E+2
 8.4337122E+7, -4.6480947E+1, 5.1433319E+2
 8.4337282E+7, -4.6430325E+1, 5.0511479E+2
 8.4337442E+7, -4.6379703E+1, 4.9811921E+2
 8.4337602E+7, -4.6329082E+1, 5.0439668E+2
 8.4337762E+7, -4.6278460E+1, 5.1447976E+2
 8.4337922E+7, -4.6227838E+1, 5.1580852E+2
 8.4338082E+7, -4.6177216E+1, 5.0546163E+2
 8.4338242E+7, -4.6126594E+1, 4.9704444E+2
 8.4338402E+7, -4.6075973E+1, 5.0330240E+2
 8.4338562E+7, -4.6025351E+1, 5.1465559E+2
 8.4338722E+7, -4.5974729E+1, 5.1437223E+2
 8.4338882E+7, -4.5924107E+1, 5.0872988E+2
 8.4339042E+7, -4.5873485E+1, 4.9765998E+2
 8.4339202E+7, -4.5822864E+1, 5.0221300E+2
 8.4339362E+7, -4.5772242E+1, 5.1455790E+2
 8.4339522E+7, -4.5721620E+1, 5.1515388E+2
 8.4339682E+7, -4.5670998E+1, 5.0068390E+2
 8.4339842E+7, -4.5620376E+1, 4.9549097E+2
 8.4340002E+7, -4.5569754E+1, 5.0102592E+2
 8.4340162E+7, -4.5519133E+1, 5.1526624E+2
